City_ID,City,Country,Max Temp,City Weather Description,Lat,Lng,Hotel Name
537,Lorengau,PG,80.89,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
541,Santa Maria Da Vitoria,BR,76.57,overcast clouds,-13.3947,-44.1886,Hotel Passarela
542,Kununurra,AU,71.58,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
548,Port Blair,IN,80.38,overcast clouds,11.6667,92.75,Andaman Ocean Breeze
550,Bako,ET,72.99,overcast clouds,5.7833,36.5667,Goh Hotel
551,Daru,PG,76.41,heavy intensity rain,-9.0763,143.2092,Kuki
553,Antalaha,MG,71.96,clear sky,-14.9003,50.2788,Hôtel Florida
558,Kahului,US,81.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
559,San Carlos Del Zulia,VE,82.87,overcast clouds,9.0,-71.9135,Hotel Bolívar
564,Biltine,TD,77.4,clear sky,14.5333,20.9167,فندق ثلاث نجوم بلتن
573,Atar,MR,74.03,clear sky,20.5169,-13.0499,فندق سكليل
582,Mayumba,GA,77.38,broken clouds,-3.432,10.6554,Résidence Hôtelière Fabso
593,Bull Savanna,JM,80.85,scattered clouds,17.8868,-77.5902,Junction Guest House
594,Iquique,CL,71.64,clear sky,-20.2208,-70.1431,Hostal Vivar
596,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Solar Windelo
597,Banda Aceh,ID,77.83,overcast clouds,5.5577,95.3222,Hotel 61
598,Bubaque,GW,81.84,scattered clouds,11.2833,-15.8333,Chez Julio
603,Atambua,ID,73.26,overcast clouds,-9.1061,124.8925,Hotel Matahari
604,Acapulco,MX,83.48,scattered clouds,16.8634,-99.8901,Hotel del Valle
606,Kendari,ID,75.51,light rain,-3.945,122.4989,Hotel Agung
610,Manado,ID,74.17,scattered clouds,1.487,124.8455,Swiss Belhotel
612,Cabinda,AO,80.74,few clouds,-5.55,12.2,Hotel Mayombe
613,Dawei,MM,74.52,overcast clouds,14.0833,98.2,Royal Dawei ဟိုတယ်
618,Sirajganj,BD,71.98,clear sky,24.45,89.7167,Purbani
619,Langsa,ID,74.44,overcast clouds,4.4683,97.9683,Harmoni Hotel
623,Melo,UY,81.59,overcast clouds,-32.3667,-54.1833,Hotel Crown
626,Trincomalee,LK,79.77,broken clouds,8.5711,81.2335,Silver Star Inn
629,Port Hedland,AU,78.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
630,Kalmunai,LK,77.38,overcast clouds,7.4167,81.8167,Saji new food
632,Lhokseumawe,ID,77.79,overcast clouds,5.1801,97.1507,Vina Vira Hotel
634,Bontang,ID,75.92,overcast clouds,0.1333,117.5,Hotel Sederhana
642,Namatanai,PG,79.21,broken clouds,-3.6667,152.4333,Namatanai Hotel
643,Lazaro Cardenas,MX,83.1,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
647,Puerto Leguizamo,CO,83.59,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
648,Bac Lieu,VN,79.2,moderate rain,9.285,105.7244,Khách sạn Bạc Liêu
651,Beira,MZ,73.49,few clouds,-19.8436,34.8389,Hotel Savoy
652,Celestun,MX,83.77,scattered clouds,20.8667,-90.4,Hotel Flamingo Playa
662,Imbituba,BR,74.86,overcast clouds,-28.24,-48.6703,Silvestre Praia Hotel
664,Tabou,CI,79.25,broken clouds,4.423,-7.3528,hôtel le rochet
670,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Decameron Isleño
675,Angoche,MZ,75.33,overcast clouds,-16.2325,39.9086,Hotel Quirimbas
678,Paraiso,CR,71.51,overcast clouds,9.8383,-83.8656,Cabinas
680,Akyab,MM,76.44,clear sky,20.15,92.9,Yuzana Aung Motel 1
683,Kimbe,PG,75.16,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
686,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
692,Buraydah,SA,72.05,scattered clouds,26.326,43.975,دنا للوحدات السكنية
694,Anloga,GH,81.14,broken clouds,5.7947,0.8973,Hotel de White House
