City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather Description
69,Beyneu,KZ,45.3167,55.2,23.9,29,0,6.04,clear sky
70,Carnarvon,AU,-24.8667,113.6333,69.12,82,3,17.38,clear sky
71,Kenai,US,60.5544,-151.2583,-2.11,78,40,4.61,scattered clouds
72,Atuona,PF,-9.8,-139.0333,77.86,75,55,16.93,broken clouds
73,Komsomolskiy,UZ,40.4272,71.7189,47.12,87,25,6.91,scattered clouds
74,Lavrentiya,RU,65.5833,-171.0,26.17,89,82,9.64,broken clouds
75,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,90,100,14.16,overcast clouds
76,Fortuna,US,40.5982,-124.1573,55.35,65,100,23.02,overcast clouds
77,Ibra,OM,22.6906,58.5334,69.49,35,98,3.51,overcast clouds
78,Lethem,GY,3.3803,-59.7968,87.69,54,54,8.3,broken clouds
79,Victoria,HK,22.2855,114.1577,64.26,80,100,15.99,overcast clouds
80,Port Elizabeth,ZA,-33.918,25.5701,69.1,85,0,13.8,clear sky
81,Marawi,PH,7.9986,124.2928,66.92,95,24,1.39,few clouds
82,Severo-Kurilsk,RU,50.6789,156.125,29.01,83,45,9.53,scattered clouds
83,Sayansk,RU,54.1088,102.1648,-4.04,88,95,7.31,overcast clouds
84,Vylkove,UA,45.4021,29.586,40.69,70,100,12.64,overcast clouds
85,Platanos,GR,37.6667,21.6167,57.56,90,100,6.69,overcast clouds
86,Airai,TL,-8.9266,125.4092,60.58,93,100,0.85,overcast clouds
87,Kirkwall,GB,58.9848,-2.9587,46.96,81,100,18.41,overcast clouds
88,Jamestown,US,42.097,-79.2353,36.01,71,100,24.0,overcast clouds
89,Zhuhai,CN,22.2769,113.5678,62.31,88,40,20.71,scattered clouds
90,Baru,ID,-7.0525,112.3901,74.5,89,99,8.05,overcast clouds
91,Bahia Honda,CU,22.9036,-83.1592,83.26,67,17,9.91,few clouds
92,Samarai,PG,-10.6167,150.6667,81.5,78,100,6.91,overcast clouds
